organization_code,organization_name,organization_type_suggestion,organization_group_hint,legacy_category_summary,legacy_record_count,suggested_service_codes,suggested_service_names,suggestion_basis,suggestion_confidence,confirmed_service_codes,review_status,note
c63106e1,しののめ,障害福祉,福祉サービス等提供機関,障害福祉:22,22,,,旧加算記録,low,,,
13bc0f0a,青い実学園,学校,福祉サービス等提供機関,障害福祉:4,4,S024,学校,名称ヒント,high,,,
5dfc5dc4,オアシス作業所,障害福祉,福祉サービス等提供機関,障害福祉:3,3,,,旧加算記録,low,,,
57c31734,ビオトープ,障害福祉,福祉サービス等提供機関,障害福祉:1,1,,,旧加算記録,low,,,
3fb44ccf,防衛医大,,,,0,,,,low,,,
1d9f9fc2,石心会病院,病院,病院・訪看・薬局グループ,,0,"S018,S019",病院,名称ヒント,high,,,
9076fc1b,あさひ介護,,,,0,,,,low,,,
0f43265c,狭山市家児相,,,,0,,,,low,,,
141c3da4,訪問看護ステーションPONOS,訪問看護,病院・訪看・薬局グループ,障害福祉以外:6,6,"S020,S021",訪看,名称ヒント,high,,,
6c7fca2e,同仁会病院,病院,病院・訪看・薬局グループ,,0,"S018,S019",病院,名称ヒント,high,,,
f416cc27,所沢第一病院,病院,病院・訪看・薬局グループ,障害福祉以外:2,2,"S018,S019",病院,名称ヒント,high,,,
0d157de4,狭山ヶ丘病院,病院,病院・訪看・薬局グループ,障害福祉以外:1 / 病院:1,2,"S018,S019",病院,名称ヒント,high,,,
587fa830,あまねく狭山中央,,,,0,,,,low,,,
d3dfbb1d,水富地域包括,,,,0,,,,low,,,
0ea3b05c,トーム,障害福祉,福祉サービス等提供機関,障害福祉:1,1,,,旧加算記録,low,,,
a0a0257a,狭山市役所,障害福祉以外,福祉サービス等提供機関,障害福祉以外:2,2,,,旧加算記録,low,,,
eb7bb620,尚寿会病院,病院,病院・訪看・薬局グループ,病院:2,2,"S018,S019",病院,名称ヒント,high,,,
9c8d4826,日中一時支援事業所しののめ,日中一時,福祉サービス等提供機関,障害福祉以外:1,1,"S028,S029",日中一時,名称ヒント,high,,,
ab2be1d1,入間川病院,病院,病院・訪看・薬局グループ,病院:1,1,"S018,S019",病院,名称ヒント,high,,,
